anzsic_class_code,anzsic_class_name,anzsic_group_code,year,total_businesses,entry_rate,exit_rate,data_source
7320,Packaging Services,732,2025,1052.0,14.1,14.3,ABS 8165.0 DC02 Table 1
7510,Central Government Administration,751,2025,78.0,38.1,14.3,ABS 8165.0 DC02 Table 1
7520,State Government Administration,752,2025,32.0,24.2,27.3,ABS 8165.0 DC02 Table 1
7530,Local Government Administration,753,2025,59.0,20.4,11.1,ABS 8165.0 DC02 Table 1
7540,Justice,754,2025,96.0,32.1,17.9,ABS 8165.0 DC02 Table 1
7551,Domestic Government Representation,755,2025,5.0,40.0,40.0,ABS 8165.0 DC02 Table 1
7552,Foreign Government Representation,755,2025,24.0,38.1,23.8,ABS 8165.0 DC02 Table 1
7600,Defence,760,2025,62.0,22.4,15.5,ABS 8165.0 DC02 Table 1
7712,Investigation and Security Services,771,2025,6510.0,18.1,17.3,ABS 8165.0 DC02 Table 1
7714,Correctional and Detention Services,771,2025,17.0,21.4,0.0,ABS 8165.0 DC02 Table 1
7719,Other Public Order and Safety Services,771,2025,652.0,27.1,21.3,ABS 8165.0 DC02 Table 1
7720,Regulatory Services,772,2025,245.0,20.9,14.3,ABS 8165.0 DC02 Table 1
8010,Preschool Education,801,2025,1846.0,7.1,4.9,ABS 8165.0 DC02 Table 1
8021,Primary Education,802,2025,426.0,4.0,3.1,ABS 8165.0 DC02 Table 1
8022,Secondary Education,802,2025,280.0,2.8,3.5,ABS 8165.0 DC02 Table 1
8023,Combined Primary and Secondary Education,802,2025,590.0,2.5,2.5,ABS 8165.0 DC02 Table 1
8024,Special School Education,802,2025,171.0,16.3,9.4,ABS 8165.0 DC02 Table 1
8101,Technical and Vocational Education and Training,810,2025,10027.0,14.9,14.2,ABS 8165.0 DC02 Table 1
8102,Higher Education,810,2025,708.0,13.7,11.8,ABS 8165.0 DC02 Table 1
8211,Sports and Physical Recreation Instruction,821,2025,7803.0,18.0,14.2,ABS 8165.0 DC02 Table 1
8212,Arts Education,821,2025,4392.0,16.1,13.9,ABS 8165.0 DC02 Table 1
8219,"Adult, Community and Other Education n.e.c.",821,2025,15549.0,19.0,15.8,ABS 8165.0 DC02 Table 1
8220,Educational Support Services,822,2025,1283.0,17.1,15.7,ABS 8165.0 DC02 Table 1
8401,Hospitals (Except Psychiatric Hospitals),840,2025,1046.0,12.1,7.8,ABS 8165.0 DC02 Table 1
